Invoice Number,Invoice Date,Total Amount,Provider,Location
INV-000001,2025-03-03,1889.47,Eye Care BigTown,Smallville
INV-000002,2025-04-29,4713.94,Eye Care BigTown,Smallville
INV-000003,2025-01-22,2216.57,EyeCare Smallville,Smallville
INV-000004,2025-04-24,2268.52,EyeCare Smallville,BigTown
INV-000005,2025-06-16,3671.41,Eye Care BigTown,BigTown
INV-000006,2025-07-29,2285.08,Eye Care BigTown,Smallville
INV-000007,2025-08-31,2133.6,EyeCare Smallville,Smallville
INV-000008,2025-03-15,1851.95,Eye Care BigTown,BigTown
INV-000009,2025-03-20,3164.93,EyeCare Smallville,BigTown
INV-000010,2025-02-20,1132.47,Eye Care BigTown,BigTown
INV-000011,2025-02-08,3093.56,EyeCare Smallville,Smallville
INV-000012,2025-08-13,4265.56,EyeCare Smallville,Smallville
INV-000013,2025-03-19,662.1,Eye Care BigTown,Smallville
INV-000014,2025-06-15,734.19,EyeCare Smallville,Smallville
INV-000015,2025-05-14,3305.69,Eye Care BigTown,Smallville
INV-000016,2025-06-27,3985.64,EyeCare Smallville,BigTown
INV-000017,2025-07-09,1123.03,Eye Care BigTown,BigTown
INV-000018,2025-04-16,2591.74,Eye Care BigTown,BigTown
INV-000019,2025-04-11,4181.97,EyeCare Smallville,BigTown
INV-000020,2025-01-11,3929.75,Eye Care BigTown,Smallville
INV-000021,2025-05-29,3061.69,Eye Care BigTown,BigTown
INV-000022,2025-07-28,4242.94,EyeCare Smallville,BigTown
INV-000023,2025-08-28,1742.7,EyeCare Smallville,BigTown
INV-000024,2025-08-07,3265.41,Eye Care BigTown,BigTown
INV-000025,2025-03-21,2717.83,EyeCare Smallville,BigTown
INV-000026,2025-03-13,2587.97,EyeCare Smallville,BigTown
INV-000027,2025-07-26,590.21,Eye Care BigTown,BigTown
INV-000028,2025-07-01,1204.5,EyeCare Smallville,Smallville
INV-000029,2025-08-01,3262.6,EyeCare Smallville,Smallville
INV-000030,2025-05-26,3061.87,EyeCare Smallville,BigTown
INV-000031,2025-03-03,1183.59,EyeCare Smallville,Smallville
INV-000032,2025-05-13,2719.79,EyeCare Smallville,Smallville
INV-000033,2025-01-15,1269.53,Eye Care BigTown,Smallville
INV-000034,2025-02-13,4696.76,Eye Care BigTown,BigTown
INV-000035,2025-06-15,1706.64,Eye Care BigTown,BigTown
INV-000036,2025-01-01,3106.42,Eye Care BigTown,Smallville
INV-000037,2025-01-11,3286.94,EyeCare Smallville,Smallville
INV-000038,2025-05-24,4876.04,EyeCare Smallville,Smallville
