Vial Number,Lot Number,Expiration Date,Purchase Price,Invoice Number
VN-0000001,LOT-5169460,2026-04-30,$50.00,INV-000402
VN-0000002,LOT-5228790,2026-04-30,$50.00,INV-000637
VN-0000003,LOT-5134343,2026-04-30,$50.00,INV-000757
VN-0000004,LOT-4417439,2026-04-30,$50.00,INV-000284
VN-0000005,LOT-8583121,2026-04-30,$50.00,INV-000303
VN-0000006,LOT-1879592,2026-04-30,$50.00,INV-000967
VN-0000007,LOT-3559893,2026-04-30,$50.00,INV-000556
VN-0000008,LOT-3201955,2026-04-30,$50.00,INV-001138
VN-0000009,LOT-9734218,2026-04-30,$50.00,INV-000841
VN-0000010,LOT-2762109,2026-04-30,$50.00,INV-000207
VN-0000011,LOT-9398630,2026-04-30,$50.00,INV-000603
VN-0000012,LOT-4206621,2026-04-30,$50.00,INV-001195
VN-0000013,LOT-2478184,2026-04-30,$50.00,INV-000917
VN-0000014,LOT-1829133,2026-04-30,$50.00,INV-000975
VN-0000015,LOT-5087505,2026-04-30,$50.00,INV-001027
VN-0000016,LOT-2647789,2026-04-30,$50.00,INV-000056
VN-0000017,LOT-4962041,2026-04-30,$50.00,INV-000984
VN-0000018,LOT-5342679,2026-04-30,$50.00,INV-000290
VN-0000019,LOT-3811931,2026-04-30,$50.00,INV-000937
VN-0000020,LOT-3619989,2026-04-30,$50.00,INV-000575
VN-0000021,LOT-1276979,2026-04-30,$50.00,INV-000950
VN-0000022,LOT-7733876,2026-04-30,$50.00,INV-001030
VN-0000023,LOT-1089187,2026-04-30,$50.00,INV-001015
VN-0000024,LOT-6156110,2026-04-30,$50.00,INV-000919
VN-0000025,LOT-5251569,2026-04-30,$50.00,INV-000894
VN-0000026,LOT-8694199,2026-04-30,$50.00,INV-001129
VN-0000027,LOT-1422462,2026-04-30,$50.00,INV-000870
VN-0000028,LOT-4927307,2026-04-30,$50.00,INV-000147
VN-0000029,LOT-9543577,2026-04-30,$50.00,INV-000789
VN-0000030,LOT-4069963,2026-04-30,$50.00,INV-000466
VN-0000031,LOT-5279780,2026-04-30,$50.00,INV-000939
VN-0000032,LOT-1215641,2026-04-30,$50.00,INV-000754
VN-0000033,LOT-4513971,2026-04-30,$50.00,INV-001163
VN-0000034,LOT-7835516,2026-04-30,$50.00,INV-000816
VN-0000035,LOT-2178508,2026-04-30,$50.00,INV-000999
VN-0000036,LOT-3744083,2026-04-30,$50.00,INV-000082
VN-0000037,LOT-8468932,2026-04-30,$50.00,INV-001029
VN-0000038,LOT-1985938,2026-04-30,$50.00,INV-000016
VN-0000039,LOT-3503022,2026-04-30,$50.00,INV-000493
VN-0000040,LOT-9657050,2026-04-30,$50.00,INV-000486
VN-0000041,LOT-6490417,2026-04-30,$50.00,INV-000594
VN-0000042,LOT-2055105,2026-04-30,$50.00,INV-000495
VN-0000043,LOT-5963962,2026-04-30,$50.00,INV-000437
VN-0000044,LOT-7467910,2026-04-30,$50.00,INV-000798
VN-0000045,LOT-9332048,2026-04-30,$50.00,INV-000892
VN-0000046,LOT-7727540,2026-04-30,$50.00,INV-001038
VN-0000047,LOT-2645883,2026-04-30,$50.00,INV-000505
VN-0000048,LOT-7899821,2026-04-30,$50.00,INV-000828
VN-0000049,LOT-7905920,2026-04-30,$50.00,INV-001009
VN-0000050,LOT-8239582,2026-04-30,$50.00,INV-001079
VN-0000051,LOT-3609819,2026-04-30,$50.00,INV-000687
VN-0000052,LOT-9142121,2026-04-30,$50.00,INV-000337
VN-0000053,LOT-3338477,2026-04-30,$50.00,INV-001006
VN-0000054,LOT-2689526,2026-04-30,$50.00,INV-000009
VN-0000055,LOT-9159819,2026-04-30,$50.00,INV-000015
VN-0000056,LOT-1894126,2026-04-30,$50.00,INV-001150
VN-0000057,LOT-8824470,2026-04-30,$50.00,INV-001120
VN-0000058,LOT-6336371,2026-04-30,$50.00,INV-001131
VN-0000059,LOT-4430815,2026-04-30,$50.00,INV-001130
VN-0000060,LOT-6866419,2026-04-30,$50.00,INV-000003
VN-0000061,LOT-1689733,2026-04-30,$50.00,INV-000047
VN-0000062,LOT-1600029,2026-04-30,$50.00,INV-001115
VN-0000063,LOT-5496792,2026-04-30,$50.00,INV-000518
VN-0000064,LOT-1648732,2026-04-30,$50.00,INV-000755
VN-0000065,LOT-2164020,2026-04-30,$50.00,INV-000400
VN-0000066,LOT-9233340,2026-04-30,$50.00,INV-000949
VN-0000067,LOT-2914715,2026-04-30,$50.00,INV-000886
VN-0000068,LOT-1836246,2026-04-30,$50.00,INV-000808
VN-0000069,LOT-5082036,2026-04-30,$50.00,INV-000590
VN-0000070,LOT-2880113,2026-04-30,$50.00,INV-000905
VN-0000071,LOT-4399474,2026-04-30,$50.00,INV-000307
VN-0000072,LOT-7030854,2026-04-30,$50.00,INV-000387
VN-0000073,LOT-2793152,2026-04-30,$50.00,INV-000819
VN-0000074,LOT-2296944,2026-04-30,$50.00,INV-000026
VN-0000075,LOT-4101609,2026-04-30,$50.00,INV-000366
VN-0000076,LOT-3265470,2026-04-30,$50.00,INV-000130
VN-0000077,LOT-8096706,2026-04-30,$50.00,INV-000693
VN-0000078,LOT-6012149,2026-04-30,$50.00,INV-001151
VN-0000079,LOT-3883353,2026-04-30,$50.00,INV-000106
VN-0000080,LOT-6454724,2026-04-30,$50.00,INV-000277
VN-0000081,LOT-8483347,2026-04-30,$50.00,INV-000677
VN-0000082,LOT-8595058,2026-04-30,$50.00,INV-000904
VN-0000083,LOT-1381060,2026-04-30,$50.00,INV-000920
VN-0000084,LOT-3375852,2026-04-30,$50.00,INV-000405
VN-0000085,LOT-6278829,2026-04-30,$50.00,INV-000827
VN-0000086,LOT-9867050,2026-04-30,$50.00,INV-000509
VN-0000087,LOT-6669411,2026-04-30,$50.00,INV-000785
VN-0000088,LOT-8643090,2026-04-30,$50.00,INV-001059
VN-0000089,LOT-6761835,2026-04-30,$50.00,INV-000350
VN-0000090,LOT-7921480,2026-04-30,$50.00,INV-001155
VN-0000091,LOT-3070811,2026-04-30,$50.00,INV-001070
VN-0000092,LOT-1325243,2026-04-30,$50.00,INV-000248
VN-0000093,LOT-9771000,2026-04-30,$50.00,INV-000998
VN-0000094,LOT-9276138,2026-04-30,$50.00,INV-001188
